Trajectory ID,Step,Current State,Real Action,Next State,Real Reward,Possible Action 1,Action 1 Next State,Action 1 Reward,Possible Action 2,Action 2 Next State,Action 2 Reward
0,0,0,2,330,0.9914929270744324,2,330,0.9914929270744324,4,331,0.9762732982635498
0,1,330,2,338,0.6479381918907166,2,338,0.6479381918907166
0,2,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
0,3,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
0,4,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
0,5,364,3,178,0.6578889489173889,3,178,0.6578889489173889
0,6,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
0,7,180,3,337,0.6510628461837769,3,337,0.6510628461837769
0,8,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
0,9,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
0,10,186,3,347,0.6629194021224976,3,347,0.6629194021224976
0,11,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
0,12,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
0,13,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
0,14,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
0,15,136,3,9,0.6521458625793457,3,9,0.6521458625793457
1,0,0,2,330,0.9914929270744324,2,330,0.9914929270744324,4,331,0.9762732982635498
1,1,330,2,338,0.6479381918907166,2,338,0.6479381918907166
1,2,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
1,3,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
1,4,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
1,5,364,3,178,0.6578889489173889,3,178,0.6578889489173889
1,6,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
1,7,180,3,337,0.6510628461837769,3,337,0.6510628461837769
1,8,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
1,9,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
1,10,186,3,347,0.6629194021224976,3,347,0.6629194021224976
1,11,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
1,12,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
1,13,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
1,14,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
1,15,136,3,9,0.6521458625793457,3,9,0.6521458625793457
2,0,0,2,330,0.9914929270744324,2,330,0.9914929270744324,4,331,0.9762732982635498
2,1,330,2,338,0.6479381918907166,2,338,0.6479381918907166
2,2,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
2,3,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
2,4,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
2,5,364,3,178,0.6578889489173889,3,178,0.6578889489173889
2,6,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
2,7,180,3,337,0.6510628461837769,3,337,0.6510628461837769
2,8,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
2,9,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
2,10,186,3,347,0.6629194021224976,3,347,0.6629194021224976
2,11,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
2,12,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
2,13,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
2,14,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
2,15,136,3,9,0.6521458625793457,3,9,0.6521458625793457
3,0,0,2,330,0.9914929270744324,2,330,0.9914929270744324,4,331,0.9762732982635498
3,1,330,2,338,0.6479381918907166,2,338,0.6479381918907166
3,2,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
3,3,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
3,4,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
3,5,364,3,178,0.6578889489173889,3,178,0.6578889489173889
3,6,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
3,7,180,3,337,0.6510628461837769,3,337,0.6510628461837769
3,8,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
3,9,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
3,10,186,3,347,0.6629194021224976,3,347,0.6629194021224976
3,11,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
3,12,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
3,13,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
3,14,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
3,15,136,3,9,0.6521458625793457,3,9,0.6521458625793457
4,0,1,2,338,0.614825963973999,2,338,0.614825963973999
4,1,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
4,2,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
4,3,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
4,4,364,3,178,0.6578889489173889,3,178,0.6578889489173889
4,5,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
4,6,180,3,337,0.6510628461837769,3,337,0.6510628461837769
4,7,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
4,8,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
4,9,186,3,347,0.6629194021224976,3,347,0.6629194021224976
4,10,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
4,11,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
4,12,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
4,13,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
4,14,136,3,9,0.6521458625793457,3,9,0.6521458625793457
5,0,1,2,338,0.614825963973999,2,338,0.614825963973999
5,1,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
5,2,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
5,3,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
5,4,364,3,178,0.6578889489173889,3,178,0.6578889489173889
5,5,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
5,6,180,3,337,0.6510628461837769,3,337,0.6510628461837769
5,7,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
5,8,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
5,9,186,3,347,0.6629194021224976,3,347,0.6629194021224976
5,10,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
5,11,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
5,12,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
5,13,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
5,14,136,3,9,0.6521458625793457,3,9,0.6521458625793457
6,0,1,2,338,0.614825963973999,2,338,0.614825963973999
6,1,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
6,2,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
6,3,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
6,4,364,3,178,0.6578889489173889,3,178,0.6578889489173889
6,5,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
6,6,180,3,337,0.6510628461837769,3,337,0.6510628461837769
6,7,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
6,8,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
6,9,186,3,347,0.6629194021224976,3,347,0.6629194021224976
6,10,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
6,11,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
6,12,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
6,13,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
6,14,136,3,9,0.6521458625793457,3,9,0.6521458625793457
7,0,1,2,338,0.614825963973999,2,338,0.614825963973999
7,1,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
7,2,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
7,3,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
7,4,364,3,178,0.6578889489173889,3,178,0.6578889489173889
7,5,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
7,6,180,3,337,0.6510628461837769,3,337,0.6510628461837769
7,7,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
7,8,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
7,9,186,3,347,0.6629194021224976,3,347,0.6629194021224976
7,10,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
7,11,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
7,12,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
7,13,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
7,14,136,3,9,0.6521458625793457,3,9,0.6521458625793457
8,0,1,2,338,0.614825963973999,2,338,0.614825963973999
8,1,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
8,2,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
8,3,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
8,4,364,3,178,0.6578889489173889,3,178,0.6578889489173889
8,5,178,3,180,1.0250372886657715,1,179,1.1112287044525146,3,180,1.0250372886657715
8,6,180,3,337,0.6510628461837769,3,337,0.6510628461837769
8,7,337,3,182,1.0004832744598389,3,182,1.0004832744598389,5,181,1.1286760568618774
8,8,182,3,186,1.026678204536438,1,187,1.1192697286605835,3,186,1.026678204536438
8,9,186,3,347,0.6629194021224976,3,347,0.6629194021224976
8,10,347,3,403,1.0328779220581055,1,402,1.1013567447662354,3,403,1.0328779220581055
8,11,403,3,243,1.0103249549865723,3,243,1.0103249549865723,6,242,1.0388175249099731
8,12,243,4,211,1.0177764892578125,2,212,1.0376923084259033,4,211,1.0177764892578125
8,13,211,4,136,1.065051555633545,4,136,1.065051555633545,6,135,1.0269652605056763
8,14,136,3,9,0.6521458625793457,3,9,0.6521458625793457
9,0,1,2,338,0.614825963973999,2,338,0.614825963973999
9,1,338,3,154,1.0326136350631714,1,153,1.1107211112976074,3,154,1.0326136350631714
9,2,154,3,174,1.0384135246276855,1,173,1.1237287521362305,3,174,1.0384135246276855
9,3,174,3,364,1.0014808177947998,3,364,1.0014808177947998,5,365,1.1156904697418213
