Test Trajectory,Learner Trajectory,Test Actions,Learner Actions,Test Rewards,Learner Rewards,Test Return,Learner Return
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.9914929270744324_0.6479381918907166_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.9914929270744324_0.6479381918907166_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,14.514185845851898,14.514185845851898
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.9914929270744324_0.6479381918907166_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.9914929270744324_0.6479381918907166_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,14.514185845851898,14.514185845851898
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.9914929270744324_0.6479381918907166_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.9914929270744324_0.6479381918907166_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,14.514185845851898,14.514185845851898
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.9914929270744324_0.6479381918907166_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.9914929270744324_0.6479381918907166_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,14.514185845851898,14.514185845851898
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,13.489580690860748,13.489580690860748
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,13.489580690860748,13.489580690860748
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,13.489580690860748,13.489580690860748
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,13.489580690860748,13.489580690860748
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,13.489580690860748,13.489580690860748
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,0.614825963973999_1.0326136350631714_1.0384135246276855_1.0014808177947998_0.6578889489173889_1.0250372886657715_0.6510628461837769_1.0004832744598389_1.026678204536438_0.6629194021224976_1.0328779220581055_1.0103249549865723_1.0177764892578125_1.065051555633545_0.6521458625793457,13.489580690860748,13.489580690860748
